txn_type,txn_id,account,project,amount_minor,memo,true_cost_code
Bill,B-10455,Subcontractors,PRJ-004,1545231,Electrical services — Murrin Bridge Repair — Apr 2026,26-00-00
Bill,B-VOID-01,Plant Hire,PRJ-004,750000,Voided duplicate crane hire,31-23-00
Bill,B-10461,Subcontractors,PRJ-005,900450,Electrical services — Ironbank Industrial Slab — Apr 2026,26-00-00
Bill,B-10451,Materials,PRJ-004,2253462,Concrete supply — Murrin Bridge Repair — Apr 2026,03-30-00
Bill,B-10456,Preliminaries,PRJ-005,956800,Site Services — Ironbank Industrial Slab — Apr 2026,01-50-00
Bill,B-10464,Materials,PRJ-006,1520750,Concrete supply — Sandstone School Upgrade — Apr 2026,03-30-00
Bill,B-10469,Subcontractors,PRJ-006,1098533,Mechanical services — Sandstone School Upgrade — Apr 2026,23-00-00
Bill,B-10443,Materials,PRJ-003,1302462,Concrete supply — Ashgrove Apartment Refurbishment — Apr 2026,03-30-00
Bill,B-10454,Subcontractors,PRJ-004,1167508,Hydraulic services — Murrin Bridge Repair — Apr 2026,22-00-00
JournalEntry,PAY-20260414,Wages,PRJ-003,907063,Site payroll allocation — fortnight ending 2026-04-14,01-50-00
JournalEntry,PAY-20260414,Wages,PRJ-004,758167,Site payroll allocation — fortnight ending 2026-04-14,01-50-00
JournalEntry,PAY-20260414,Wages,PRJ-005,956380,Site payroll allocation — fortnight ending 2026-04-14,01-50-00
JournalEntry,PAY-20260414,Wages,PRJ-006,850026,Site payroll allocation — fortnight ending 2026-04-14,01-50-00
Bill,B-10457,Demolition,PRJ-005,848700,Demolition works — Ironbank Industrial Slab — Apr 2026,02-41-00
Bill,B-10467,Subcontractors,PRJ-006,970200,Painting package — Sandstone School Upgrade — Apr 2026,09-90-00
Bill,B-10446,Subcontractors,PRJ-003,520985,Painting package — Ashgrove Apartment Refurbishment — Apr 2026,09-90-00
Bill,B-10459,Materials,PRJ-005,2480504,Structural steel — Ironbank Industrial Slab — Apr 2026,05-12-00
Bill,B-10463,Demolition,PRJ-006,708400,Demolition works — Sandstone School Upgrade — Apr 2026,02-41-00
Bill,B-10465,Materials,PRJ-006,2085417,Structural steel — Sandstone School Upgrade — Apr 2026,05-12-00
Bill,B-10447,Subcontractors,PRJ-003,803446,Mechanical services — Ashgrove Apartment Refurbishment — Apr 2026,23-00-00
Bill,B-10452,Subcontractors,PRJ-004,1133169,Carpentry package — Murrin Bridge Repair — Apr 2026,06-10-00
Bill,B-10460,Subcontractors,PRJ-005,993600,Carpentry package — Ironbank Industrial Slab — Apr 2026,06-10-00
Bill,B-10468,Subcontractors,PRJ-006,944533,Hydraulic services — Sandstone School Upgrade — Apr 2026,22-00-00
Bill,B-10450,Preliminaries,PRJ-004,847015,Site Services — Murrin Bridge Repair — Apr 2026,01-50-00
Bill,B-10458,Materials,PRJ-005,2205240,Concrete supply — Ironbank Industrial Slab — Apr 2026,03-30-00
Bill,B-10453,Subcontractors,PRJ-004,695354,Painting package — Murrin Bridge Repair — Apr 2026,09-90-00
Bill,B-10445,Subcontractors,PRJ-003,1224000,Partitions and linings — Ashgrove Apartment Refurbishment — Apr 2026,09-21-00
Bill,B-10462,Plant Hire,PRJ-005,817650,Earthworks and plant — Ironbank Industrial Slab — Apr 2026,31-23-00
Bill,B-10470,Subcontractors,PRJ-006,935550,Electrical services — Sandstone School Upgrade — Apr 2026,26-00-00
JournalEntry,PAY-20260428,Wages,PRJ-003,1042691,Site payroll allocation — fortnight ending 2026-04-28,01-50-00
JournalEntry,PAY-20260428,Wages,PRJ-004,1011244,Site payroll allocation — fortnight ending 2026-04-28,01-50-00
JournalEntry,PAY-20260428,Wages,PRJ-005,1009743,Site payroll allocation — fortnight ending 2026-04-28,01-50-00
JournalEntry,PAY-20260428,Wages,PRJ-006,978994,Site payroll allocation — fortnight ending 2026-04-28,01-50-00
Bill,B-10444,Subcontractors,PRJ-003,1054523,Carpentry package — Ashgrove Apartment Refurbishment — Apr 2026,06-10-00
Bill,B-10448,Subcontractors,PRJ-003,932123,Electrical services — Ashgrove Apartment Refurbishment — Apr 2026,26-00-00
Bill,B-10449,Plant Hire,PRJ-003,988615,Earthworks and plant — Ashgrove Apartment Refurbishment — Apr 2026,31-23-00
Bill,B-10466,Subcontractors,PRJ-006,1424500,Partitions and linings — Sandstone School Upgrade — Apr 2026,09-21-00
Bill,B-10481,Subcontractors,PRJ-003,826462,Partitions and linings — Ashgrove Apartment Refurbishment — May 2026,09-21-00
Bill,B-10483,Subcontractors,PRJ-003,652800,Hydraulic services — Ashgrove Apartment Refurbishment — May 2026,22-00-00
Bill,B-10497,Subcontractors,PRJ-005,627900,Painting package — Ironbank Industrial Slab — May 2026,09-90-00
Bill,B-10478,Materials,PRJ-003,1710462,Concrete supply — Ashgrove Apartment Refurbishment — May 2026,03-30-00
Bill,B-10479,Materials,PRJ-003,1468800,Structural steel — Ashgrove Apartment Refurbishment — May 2026,05-12-00
Bill,B-10494,Preliminaries,PRJ-005,874000,Site Services — Ironbank Industrial Slab — May 2026,01-50-00
Bill,B-10506,Subcontractors,PRJ-006,854700,Electrical services — Sandstone School Upgrade — May 2026,26-00-00
Bill,B-10492,Subcontractors,PRJ-004,1316308,Partitions and linings — Murrin Bridge Repair — May 2026,09-21-00
Bill,B-10476,Preliminaries,PRJ-003,820185,Site Services — Ashgrove Apartment Refurbishment — May 2026,01-50-00
Bill,B-10496,Subcontractors,PRJ-005,763600,Carpentry package — Ironbank Industrial Slab — May 2026,06-10-00
Bill,B-10488,Demolition,PRJ-004,927138,Demolition works — Murrin Bridge Repair — May 2026,02-41-00
Bill,B-10502,Demolition,PRJ-006,900900,Demolition works — Sandstone School Upgrade — May 2026,02-41-00
JournalEntry,PAY-20260514,Wages,PRJ-003,999375,Site payroll allocation — fortnight ending 2026-05-14,01-50-00
JournalEntry,PAY-20260514,Wages,PRJ-004,588266,Site payroll allocation — fortnight ending 2026-05-14,01-50-00
JournalEntry,PAY-20260514,Wages,PRJ-005,949801,Site payroll allocation — fortnight ending 2026-05-14,01-50-00
JournalEntry,PAY-20260514,Wages,PRJ-006,707819,Site payroll allocation — fortnight ending 2026-05-14,01-50-00
Bill,B-10489,Materials,PRJ-004,1802769,Concrete supply — Murrin Bridge Repair — May 2026,03-30-00
Bill,B-10495,Materials,PRJ-005,1876800,Concrete supply — Ironbank Industrial Slab — May 2026,03-30-00
Bill,B-10500,Plant Hire,PRJ-005,1242000,Earthworks and plant — Ironbank Industrial Slab — May 2026,31-23-00
Bill,B-10485,Subcontractors,PRJ-003,781477,Electrical services — Ashgrove Apartment Refurbishment — May 2026,26-00-00
Bill,B-10486,Plant Hire,PRJ-003,837969,Earthworks and plant — Ashgrove Apartment Refurbishment — May 2026,31-23-00
Bill,B-10498,Subcontractors,PRJ-005,947600,Hydraulic services — Ironbank Industrial Slab — May 2026,22-00-00
Bill,B-10484,Subcontractors,PRJ-003,610954,Mechanical services — Ashgrove Apartment Refurbishment — May 2026,23-00-00
Bill,B-10490,Materials,PRJ-004,1841400,Structural steel — Murrin Bridge Repair — May 2026,05-12-00
Bill,B-10491,Subcontractors,PRJ-004,938585,Carpentry package — Murrin Bridge Repair — May 2026,06-10-00
Bill,B-10499,Subcontractors,PRJ-005,745200,Mechanical services — Ironbank Industrial Slab — May 2026,23-00-00
Bill,B-10504,Subcontractors,PRJ-006,831600,Carpentry package — Sandstone School Upgrade — May 2026,06-10-00
Bill,B-10480,Subcontractors,PRJ-003,694646,Carpentry package — Ashgrove Apartment Refurbishment — May 2026,06-10-00
Bill,B-10487,Preliminaries,PRJ-004,1018708,Site Services — Murrin Bridge Repair — May 2026,01-50-00
Bill,B-10501,Preliminaries,PRJ-006,1088267,Site Services — Sandstone School Upgrade — May 2026,01-50-00
Bill,B-10482,Subcontractors,PRJ-003,753231,Painting package — Ashgrove Apartment Refurbishment — May 2026,09-90-00
Bill,B-10507,Plant Hire,PRJ-006,1155000,Earthworks and plant — Sandstone School Upgrade — May 2026,31-23-00
Bill,B-10477,Demolition,PRJ-003,546092,Demolition works — Ashgrove Apartment Refurbishment — May 2026,02-41-00
Bill,B-10503,Materials,PRJ-006,1835167,Structural steel — Sandstone School Upgrade — May 2026,05-12-00
Bill,B-10505,Subcontractors,PRJ-006,1360333,Partitions and linings — Sandstone School Upgrade — May 2026,09-21-00
JournalEntry,PAY-20260528,Wages,PRJ-003,904583,Site payroll allocation — fortnight ending 2026-05-28,01-50-00
JournalEntry,PAY-20260528,Wages,PRJ-004,740074,Site payroll allocation — fortnight ending 2026-05-28,01-50-00
JournalEntry,PAY-20260528,Wages,PRJ-005,667432,Site payroll allocation — fortnight ending 2026-05-28,01-50-00
JournalEntry,PAY-20260528,Wages,PRJ-006,608307,Site payroll allocation — fortnight ending 2026-05-28,01-50-00
Bill,B-10493,Subcontractors,PRJ-004,1120292,Electrical services — Murrin Bridge Repair — May 2026,26-00-00
Bill,B-10517,Subcontractors,PRJ-003,1062892,Hydraulic services — Ashgrove Apartment Refurbishment — Jun 2026,22-00-00
Bill,B-SPLIT-01,Materials,PRJ-004,1240000,Bridge bearing steel,05-12-00
Bill,B-SPLIT-01,Materials,PRJ-006,870000,School canopy steel,05-12-00
Bill,B-10527,Materials,PRJ-006,2002000,Concrete supply — Sandstone School Upgrade — Jun 2026,03-30-00
Bill,B-10529,Subcontractors,PRJ-006,1270500,Partitions and linings — Sandstone School Upgrade — Jun 2026,09-21-00
Bill,B-10530,Subcontractors,PRJ-006,931700,Painting package — Sandstone School Upgrade — Jun 2026,09-90-00
Bill,B-10513,Preliminaries,PRJ-003,903877,Site Services — Ashgrove Apartment Refurbishment — Jun 2026,01-50-00
Bill,B-10518,Subcontractors,PRJ-003,728123,Mechanical services — Ashgrove Apartment Refurbishment — Jun 2026,23-00-00
JournalEntry,PAY-20260614,Wages,PRJ-003,903306,Site payroll allocation — fortnight ending 2026-06-14,01-50-00
JournalEntry,PAY-20260614,Wages,PRJ-004,529826,Site payroll allocation — fortnight ending 2026-06-14,01-50-00
JournalEntry,PAY-20260614,Wages,PRJ-006,549683,Site payroll allocation — fortnight ending 2026-06-14,01-50-00
Bill,B-10528,Subcontractors,PRJ-006,975333,Carpentry package — Sandstone School Upgrade — Jun 2026,06-10-00
Bill,B-10532,Subcontractors,PRJ-006,889350,Electrical services — Sandstone School Upgrade — Jun 2026,26-00-00
Bill,B-10514,Materials,PRJ-003,1788923,Concrete supply — Ashgrove Apartment Refurbishment — Jun 2026,03-30-00
Bill,B-10516,Subcontractors,PRJ-003,1150769,Partitions and linings — Ashgrove Apartment Refurbishment — Jun 2026,09-21-00
Bill,B-10526,Plant Hire,PRJ-004,1622492,Earthworks and plant — Murrin Bridge Repair — Jun 2026,31-23-00
Bill,B-10531,Subcontractors,PRJ-006,1262800,Hydraulic services — Sandstone School Upgrade — Jun 2026,22-00-00
Bill,B-10525,Subcontractors,PRJ-004,1075938,Mechanical services — Murrin Bridge Repair — Jun 2026,23-00-00
Bill,B-10524,Subcontractors,PRJ-004,635262,Painting package — Murrin Bridge Repair — Jun 2026,09-90-00
Bill,B-10533,Plant Hire,PRJ-006,935550,Earthworks and plant — Sandstone School Upgrade — Jun 2026,31-23-00
Bill,B-10519,Subcontractors,PRJ-003,922708,Electrical services — Ashgrove Apartment Refurbishment — Jun 2026,26-00-00
Bill,B-10522,Materials,PRJ-004,1599600,Structural steel — Murrin Bridge Repair — Jun 2026,05-12-00
Bill,B-10515,Subcontractors,PRJ-003,686277,Carpentry package — Ashgrove Apartment Refurbishment — Jun 2026,06-10-00
Bill,B-10523,Subcontractors,PRJ-004,1445077,Partitions and linings — Murrin Bridge Repair — Jun 2026,09-21-00
JournalEntry,PAY-20260628,Wages,PRJ-003,883433,Site payroll allocation — fortnight ending 2026-06-28,01-50-00
JournalEntry,PAY-20260628,Wages,PRJ-004,822209,Site payroll allocation — fortnight ending 2026-06-28,01-50-00
JournalEntry,PAY-20260628,Wages,PRJ-006,885548,Site payroll allocation — fortnight ending 2026-06-28,01-50-00
Bill,B-10520,Plant Hire,PRJ-003,960369,Earthworks and plant — Ashgrove Apartment Refurbishment — Jun 2026,31-23-00
Bill,B-10521,Preliminaries,PRJ-004,1396431,Site Services — Murrin Bridge Repair — Jun 2026,01-50-00
Bill,B-10545,Subcontractors,PRJ-004,1043031,Electrical services — Murrin Bridge Repair — Jul 2026,26-00-00
Bill,B-10546,Preliminaries,PRJ-006,811067,Site Services — Sandstone School Upgrade — Jul 2026,01-50-00
Bill,B-10539,Preliminaries,PRJ-004,1030154,Site Services — Murrin Bridge Repair — Jul 2026,01-50-00
JournalEntry,PAY-20260714,Wages,PRJ-004,683957,Site payroll allocation — fortnight ending 2026-07-14,01-50-00
JournalEntry,PAY-20260714,Wages,PRJ-006,540340,Site payroll allocation — fortnight ending 2026-07-14,01-50-00
Bill,B-10544,Subcontractors,PRJ-004,938585,Mechanical services — Murrin Bridge Repair — Jul 2026,23-00-00
Bill,B-10541,Materials,PRJ-004,1695462,Concrete supply — Murrin Bridge Repair — Jul 2026,03-30-00
Bill,B-10547,Materials,PRJ-006,2079000,Concrete supply — Sandstone School Upgrade — Jul 2026,03-30-00
Bill,B-10549,Subcontractors,PRJ-006,1501500,Partitions and linings — Sandstone School Upgrade — Jul 2026,09-21-00
Bill,B-10553,Plant Hire,PRJ-006,1305150,Earthworks and plant — Sandstone School Upgrade — Jul 2026,31-23-00
Bill,B-10548,Subcontractors,PRJ-006,1160133,Carpentry package — Sandstone School Upgrade — Jul 2026,06-10-00
Bill,B-10543,Subcontractors,PRJ-004,1445077,Partitions and linings — Murrin Bridge Repair — Jul 2026,09-21-00
Bill,B-10551,Subcontractors,PRJ-006,1119067,Hydraulic services — Sandstone School Upgrade — Jul 2026,22-00-00
Bill,B-10550,Subcontractors,PRJ-006,831600,Painting package — Sandstone School Upgrade — Jul 2026,09-90-00
Bill,B-10540,Demolition,PRJ-004,1098831,Demolition works — Murrin Bridge Repair — Jul 2026,02-41-00
JournalEntry,PAY-20260728,Wages,PRJ-004,672015,Site payroll allocation — fortnight ending 2026-07-28,01-50-00
JournalEntry,PAY-20260728,Wages,PRJ-006,732886,Site payroll allocation — fortnight ending 2026-07-28,01-50-00
Bill,B-10542,Subcontractors,PRJ-004,1018708,Carpentry package — Murrin Bridge Repair — Jul 2026,06-10-00
Bill,B-10552,Subcontractors,PRJ-006,981750,Electrical services — Sandstone School Upgrade — Jul 2026,26-00-00
